valley_location,PPI
71.0,0.0
154.0,830.0
251.0,970.0
336.0,850.0
413.0,770.0
493.0,800.0
576.0,830.0
655.0,790.0
724.0,690.0
792.0,680.0
858.0,660.0
922.0,640.0
988.0,660.0
1051.0,630.0
1118.0,670.0
1184.0,660.0
1255.0,710.0
1330.0,750.0
1394.0,640.0
1454.0,600.0
1516.0,620.0
1583.0,670.0
1650.0,670.0
1718.0,680.0
1779.0,610.0
1837.0,580.0
1900.0,630.0
1962.0,620.0
2026.0,640.0
2092.0,660.0
2159.0,670.0
2222.0,630.0
2286.0,640.0
2349.0,630.0
2415.0,660.0
2481.0,660.0
2554.0,730.0
2618.0,640.0
2681.0,630.0
2743.0,620.0
2803.0,600.0
2868.0,650.0
2931.0,630.0
2998.0,670.0
3063.0,650.0
3128.0,650.0
3186.0,580.0
3245.0,590.0
3302.0,570.0
3363.0,610.0
3424.0,610.0
3493.0,690.0
3565.0,720.0
3632.0,670.0
3695.0,630.0
3762.0,670.0
3832.0,700.0
3906.0,740.0
3984.0,780.0
4056.0,720.0
4121.0,650.0
4184.0,630.0
4247.0,630.0
4324.0,770.0
4417.0,930.0
4502.0,850.0
4582.0,800.0
4657.0,750.0
4739.0,820.0
4829.0,900.0
4916.0,870.0
5003.0,870.0
5079.0,760.0
5151.0,720.0
5226.0,750.0
5308.0,820.0
5395.0,870.0
5478.0,830.0
5550.0,720.0
5626.0,760.0
5711.0,850.0
5803.0,920.0
5897.0,940.0
5984.0,870.0
6062.0,780.0
6147.0,850.0
6236.0,890.0
6325.0,890.0
6401.0,760.0
6471.0,700.0
6545.0,740.0
6625.0,800.0
6723.0,980.0
6813.0,900.0
6906.0,930.0
6987.0,810.0
7066.0,790.0
7153.0,870.0
7240.0,870.0
7328.0,880.0
7410.0,820.0
7482.0,720.0
7560.0,780.0
7643.0,830.0
7735.0,920.0
7825.0,900.0
7908.0,830.0
7993.0,850.0
8082.0,890.0
8179.0,970.0
8264.0,850.0
8342.0,780.0
8414.0,720.0
8490.0,760.0
8575.0,850.0
8657.0,820.0
8742.0,850.0
8819.0,770.0
8895.0,760.0
8973.0,780.0
9054.0,810.0
9141.0,870.0
9223.0,820.0
9298.0,750.0
9370.0,720.0
9447.0,770.0
9523.0,760.0
9603.0,800.0
9678.0,750.0
9757.0,790.0
9833.0,760.0
9918.0,850.0
9998.0,800.0
10071.0,730.0
10147.0,760.0
10224.0,770.0
10303.0,790.0
10379.0,760.0
10456.0,770.0
10543.0,870.0
10628.0,850.0
10716.0,880.0
10792.0,760.0
10867.0,750.0
10935.0,680.0
11019.0,840.0
11103.0,840.0
11190.0,870.0
11276.0,860.0
11362.0,860.0
11453.0,910.0
