RRI_inf,PPI_inf,PPI_pix,label
867.1875,871.09375,660.0,0.0
847.65625,851.5625,810.0,0.0
832.03125,832.03125,920.0,0.0
828.125,824.21875,850.0,0.0
839.84375,839.84375,840.0,0.0
851.5625,855.46875,870.0,0.0
882.8125,882.8125,900.0,0.0
894.53125,890.625,920.0,0.0
890.625,890.625,910.0,0.0
902.34375,902.34375,930.0,0.0
859.375,863.28125,860.0,0.0
832.03125,832.03125,850.0,0.0
839.84375,832.03125,870.0,0.0
843.75,843.75,880.0,0.0
843.75,843.75,860.0,0.0
820.3125,824.21875,830.0,0.0
816.40625,812.5,840.0,0.0
824.21875,828.125,820.0,0.0
820.3125,820.3125,860.0,0.0
792.96875,792.96875,740.0,0.0
824.21875,820.3125,910.0,0.0
828.125,832.03125,840.0,0.0
839.84375,835.9375,860.0,0.0
812.5,816.40625,840.0,0.0
812.5,808.59375,820.0,0.0
792.96875,796.875,790.0,0.0
773.4375,777.34375,830.0,0.0
746.09375,746.09375,740.0,0.0
773.4375,765.625,790.0,0.0
789.0625,792.96875,810.0,0.0
839.84375,835.9375,870.0,0.0
835.9375,835.9375,860.0,0.0
863.28125,859.375,840.0,0.0
882.8125,882.8125,950.0,0.0
894.53125,898.4375,890.0,0.0
867.1875,867.1875,900.0,0.0
851.5625,851.5625,850.0,0.0
839.84375,839.84375,890.0,0.0
824.21875,828.125,840.0,0.0
792.96875,789.0625,810.0,0.0
789.0625,789.0625,800.0,0.0
800.78125,800.78125,850.0,0.0
804.6875,804.6875,840.0,0.0
792.96875,796.875,800.0,0.0
796.875,789.0625,790.0,0.0
746.09375,753.90625,750.0,0.0
730.46875,730.46875,770.0,0.0
757.8125,750.0,770.0,0.0
765.625,769.53125,750.0,0.0
746.09375,742.1875,810.0,0.0
750.0,750.0,760.0,0.0
750.0,746.09375,770.0,0.0
773.4375,773.4375,770.0,0.0
808.59375,812.5,840.0,0.0
820.3125,820.3125,830.0,0.0
808.59375,808.59375,830.0,0.0
800.78125,800.78125,830.0,0.0
796.875,796.875,810.0,0.0
804.6875,808.59375,810.0,0.0
832.03125,835.9375,880.0,0.0
820.3125,816.40625,810.0,0.0
824.21875,824.21875,850.0,0.0
855.46875,851.5625,880.0,0.0
867.1875,871.09375,890.0,0.0
847.65625,851.5625,870.0,0.0
851.5625,847.65625,870.0,0.0
843.75,847.65625,880.0,0.0
828.125,828.125,840.0,0.0
824.21875,828.125,820.0,0.0
812.5,808.59375,860.0,0.0
828.125,824.21875,840.0,0.0
835.9375,839.84375,860.0,0.0
843.75,843.75,870.0,0.0
867.1875,867.1875,880.0,0.0
855.46875,859.375,870.0,0.0
851.5625,847.65625,900.0,0.0
843.75,843.75,840.0,0.0
832.03125,832.03125,870.0,0.0
824.21875,824.21875,820.0,0.0
777.34375,785.15625,820.0,0.0
757.8125,753.90625,770.0,0.0
765.625,757.8125,770.0,0.0
765.625,769.53125,810.0,0.0
738.28125,742.1875,680.0,0.0
753.90625,746.09375,830.0,0.0
746.09375,750.0,760.0,0.0
800.78125,796.875,750.0,0.0
835.9375,835.9375,700.0,0.0
843.75,847.65625,970.0,0.0
796.875,800.78125,720.0,0.0
750.0,757.8125,1000.0,0.0
734.375,718.75,730.0,0.0
710.9375,714.84375,740.0,0.0
699.21875,699.21875,710.0,0.0
710.9375,710.9375,720.0,0.0
738.28125,738.28125,760.0,0.0
800.78125,796.875,810.0,0.0
843.75,839.84375,890.0,0.0
871.09375,875.0,840.0,0.0
910.15625,910.15625,970.0,0.0
957.03125,957.03125,950.0,0.0
933.59375,941.40625,920.0,0.0
894.53125,890.625,980.0,0.0
859.375,859.375,880.0,0.0
835.9375,835.9375,840.0,0.0
824.21875,828.125,870.0,0.0
800.78125,800.78125,810.0,0.0
812.5,808.59375,830.0,0.0
820.3125,824.21875,850.0,0.0
863.28125,855.46875,870.0,0.0
886.71875,890.625,890.0,0.0
890.625,886.71875,930.0,0.0
917.96875,917.96875,930.0,0.0
898.4375,898.4375,910.0,0.0
902.34375,906.25,950.0,0.0
847.65625,851.5625,1810.0,0.0
839.84375,835.9375,1640.0,0.0
847.65625,843.75,860.0,0.0
835.9375,839.84375,800.0,0.0
828.125,828.125,890.0,0.0
824.21875,820.3125,820.0,0.0
828.125,828.125,850.0,0.0
820.3125,820.3125,830.0,0.0
835.9375,835.9375,830.0,0.0
808.59375,808.59375,850.0,0.0
816.40625,816.40625,830.0,0.0
804.6875,808.59375,790.0,0.0
808.59375,808.59375,820.0,0.0
785.15625,789.0625,830.0,0.0
792.96875,789.0625,840.0,0.0
812.5,812.5,840.0,0.0
820.3125,824.21875,830.0,0.0
828.125,828.125,810.0,0.0
808.59375,808.59375,830.0,0.0
808.59375,808.59375,670.0,0.0
